file,filetime,mtime,ctime,atime,diff
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115540_1.jpg,2019-08-03 11:55:40,2019-08-03 15:55:38,2021-06-16 07:17:15.851404,2022-09-17 21:41:57.347799,3:59:58
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115532.jpg,2019-08-03 11:55:32,2019-08-03 15:55:31,2021-06-16 07:17:14.214781,2022-09-17 21:41:57.407441,3:59:59
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152538.jpg,2019-08-01 15:25:38,2019-08-01 19:26:24,2021-06-16 03:26:10.467866,2022-09-17 21:42:03.762282,4:00:46
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152259.jpg,2019-08-01 15:22:59,2019-08-01 19:26:21,2021-06-16 03:25:51.429836,2022-09-17 21:42:03.788892,4:03:22
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152240.jpg,2019-08-01 15:22:40,2019-08-01 19:26:14,2021-06-16 07:14:59.762305,2022-09-17 21:42:03.815637,4:03:34
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115117.jpg,2019-08-03 11:51:17,2019-08-03 15:55:27,2021-06-16 05:32:38.107454,2022-09-17 21:41:57.429960,4:04:10
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152152.jpg,2019-08-01 15:21:52,2019-08-01 19:26:11,2021-06-16 07:07:13.835187,2022-09-17 21:42:03.913146,4:04:19
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152143.jpg,2019-08-01 15:21:43,2019-08-01 19:26:10,2021-06-16 03:30:29.448469,2022-09-17 21:42:03.975675,4:04:27
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152139.jpg,2019-08-01 15:21:39,2019-08-01 19:26:08,2021-06-16 03:28:24.931634,2022-09-17 21:42:04.044029,4:04:29
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152124.jpg,2019-08-01 15:21:24,2019-08-01 19:26:04,2021-06-16 05:37:35.737595,2022-09-17 21:42:04.077004,4:04:40
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115035.jpg,2019-08-03 11:50:35,2019-08-03 15:55:16,2021-06-16 07:17:13.636328,2022-09-17 21:41:57.511179,4:04:41
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115037.jpg,2019-08-03 11:50:37,2019-08-03 15:55:19,2021-06-16 05:32:39.862760,2022-09-17 21:41:57.486693,4:04:42
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115040.jpg,2019-08-03 11:50:40,2019-08-03 15:55:22,2021-06-16 05:32:39.034975,2022-09-17 21:41:57.469589,4:04:42
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_115043.jpg,2019-08-03 11:50:43,2019-08-03 15:55:25,2021-06-16 05:32:38.362793,2022-09-17 21:41:57.452040,4:04:42
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152101.jpg,2019-08-01 15:21:01,2019-08-01 19:26:02,2021-06-16 05:37:35.967979,2022-09-17 21:42:04.091138,4:05:01
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_152057.jpg,2019-08-01 15:20:57,2019-08-01 19:26:00,2021-06-16 07:14:59.731388,2022-09-17 21:42:04.110585,4:05:03
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_151857.jpg,2019-08-01 15:18:57,2019-08-01 19:25:58,2021-06-16 07:07:13.064249,2022-09-17 21:42:04.133905,4:07:01
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_151711.jpg,2019-08-01 15:17:11,2019-08-01 19:25:51,2021-06-16 05:23:14.518483,2022-09-17 21:42:04.173309,4:08:40
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_151715.jpg,2019-08-01 15:17:15,2019-08-01 19:25:56,2021-06-16 05:23:13.055403,2022-09-17 21:42:04.151011,4:08:41
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_151656.jpg,2019-08-01 15:16:56,2019-08-01 19:25:48,2021-06-16 05:23:10.860265,2022-09-17 21:42:04.191098,4:08:52
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114331.jpg,2019-08-03 11:43:31,2019-08-03 15:55:10,2021-06-16 07:17:13.040920,2022-09-17 21:41:57.531194,4:11:39
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114327.jpg,2019-08-03 11:43:27,2019-08-03 15:55:08,2021-06-16 07:17:11.491064,2022-09-17 21:41:57.554451,4:11:41
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114227.jpg,2019-08-03 11:42:27,2019-08-03 15:55:06,2021-06-16 07:17:10.670259,2022-09-17 21:41:57.577388,4:12:39
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114215.jpg,2019-08-03 11:42:15,2019-08-03 15:55:03,2021-06-16 05:32:46.446157,2022-09-17 21:41:57.601092,4:12:48
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114202.jpg,2019-08-03 11:42:02,2019-08-03 15:55:00,2021-06-16 05:32:46.643628,2022-09-17 21:41:57.617441,4:12:58
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114153.jpg,2019-08-03 11:41:53,2019-08-03 15:54:57,2021-06-16 07:17:10.427907,2022-09-17 21:41:57.640898,4:13:04
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114149.jpg,2019-08-03 11:41:49,2019-08-03 15:54:54,2021-06-16 07:17:09.718803,2022-09-17 21:41:57.658538,4:13:05
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_114040.jpg,2019-08-03 11:40:40,2019-08-03 15:54:52,2021-06-16 07:17:07.625401,2022-09-17 21:41:57.673711,4:14:12
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_150955.jpg,2019-08-01 15:09:55,2019-08-01 19:25:42,2021-06-16 05:23:11.920453,2022-09-17 21:42:04.208612,4:15:47
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190811_025609.jpg,2019-08-11 02:56:09,2019-08-11 07:12:15,2021-06-16 07:17:57.667589,2022-09-17 21:39:29.789908,4:16:06
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_150922.jpg,2019-08-01 15:09:22,2019-08-01 19:25:40,2021-06-16 05:23:08.989268,2022-09-17 21:42:04.229059,4:16:18
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190811_025610.jpg,2019-08-11 02:56:10,2019-08-11 07:12:37,2021-06-16 07:17:57.742389,2022-09-17 21:39:29.763493,4:16:27
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190811_025613.jpg,2019-08-11 02:56:13,2019-08-11 07:12:59,2021-06-16 07:17:58.960132,2022-09-17 21:39:29.741711,4:16:46
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190811_025613_1.jpg,2019-08-11 02:56:13,2019-08-11 07:13:19,2021-06-16 07:17:59.635327,2022-09-17 21:39:29.712319,4:17:06
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190801_150819.jpg,2019-08-01 15:08:19,2019-08-01 19:25:37,2021-06-16 05:23:08.184420,2022-09-17 21:42:04.267710,4:17:18
